Type	Name
BiologicalProcess	"bp(GO:""protein dephosphorylation"")"
BiologicalProcess	"bp(GO:""bulk synaptic vesicle endocytosis"")"
BiologicalProcess	"bp(CONSO:""non-enzymatic protein modification"")"
BiologicalProcess	"bp(GO:""locomotor rhythm"")"
BiologicalProcess	"bp(GO:""spontaneous synaptic transmission"")"
BiologicalProcess	"bp(GO:""glial cell-derived neurotrophic factor receptor signaling pathway"")"
BiologicalProcess	"bp(GO:""late endosomal microautophagy"")"
BiologicalProcess	"bp(GO:""protein modification process"")"
BiologicalProcess	"bp(GO:""bone growth"")"
BiologicalProcess	"bp(GOBP:""regulation of mitochondrial membrane potential"")"
BiologicalProcess	"bp(MESHPP:""Synaptic Transmission"")"
BiologicalProcess	"bp(GOBP:""production of molecular mediator involved in inflammatory response"")"
BiologicalProcess	"bp(GOBP:""regulation of catalytic activity"")"
BiologicalProcess	"bp(GOBP:""negative regulation of insulin secretion involved in cellular response to glucose stimulus"")"
BiologicalProcess	"bp(GOBP:""Notch signaling pathway"")"
BiologicalProcess	"bp(GOBP:""lipid metabolic process"")"
BiologicalProcess	"bp(GOBP:""maintenance of permeability of blood-brain barrier"")"
BiologicalProcess	"bp(HP:""cholinesterase activity"")"
BiologicalProcess	"bp(GOBP:""leukotriene production involved in inflammatory response"")"
BiologicalProcess	"bp(GOBP:""superoxide dismutase activity"")"
BiologicalProcess	"bp(GOBP:""peptidyl-cysteine S-trans-nitrosylation"")"
BiologicalProcess	"bp(PTS:""amyloidogenic pathway"")"
BiologicalProcess	"bp(GOBP:""hormone secretion"")"
BiologicalProcess	"bp(MESHPP:""Mitochondrial Swelling"")"
BiologicalProcess	"bp(GO:""action potential"")"
BiologicalProcess	"bp(GO:""apoptotic DNA fragmentation"")"
BiologicalProcess	"bp(GO:""synapse pruning"")"
BiologicalProcess	"bp(GO:""positive regulation of short-term neuronal synaptic plasticity"")"
BiologicalProcess	"bp(GO:""microtubule cytoskeleton organization"")"
BiologicalProcess	"bp(MESH:""Apoptosis"")"
BiologicalProcess	"bp(GO:""ubiquitin-dependent protein catabolic process"")"
BiologicalProcess	"bp(GO:""synaptic vesicle membrane organization"")"
BiologicalProcess	"bp(GO:""negative regulation of cell volume"")"
BiologicalProcess	"bp(GO:""central nervous system development"")"
BiologicalProcess	"bp(GO:""ectoderm development"")"
BiologicalProcess	"bp(MESH:""Vision, Ocular"")"
BiologicalProcess	"bp(GO:""tissue remodeling"")"
BiologicalProcess	"bp(GO:""autophagosome assembly"")"
BiologicalProcess	"bp(GO:""DNA replication initiation"")"
BiologicalProcess	"bp(GO:""selective autophagy"")"
BiologicalProcess	"bp(GO:""actin filament polymerization"")"
BiologicalProcess	"bp(GO:""actin cytoskeleton reorganization"")"
BiologicalProcess	"bp(GOBP:""microglial cell activation involved in immune response"")"
BiologicalProcess	"bp(GOBP:""misfolded protein transport"")"
BiologicalProcess	"bp(GOBP:""type III interferon production"")"
BiologicalProcess	"bp(GOBP:""canonical Wnt signaling pathway"")"
BiologicalProcess	"bp(GOBP:""regulation of synaptic activity"")"
BiologicalProcess	"bp(GOBP:""positive regulation of synaptic plasticity"")"
BiologicalProcess	"bp(MESHPP:""Longevity"")"
BiologicalProcess	"bp(HP:""kinase activity"")"
BiologicalProcess	"bp(PMIBP:""glycogen synthase kinase-3 beta intracellular signaling pathway"")"
BiologicalProcess	"bp(GOBP:""nagative regulation of blood pressure"")"
BiologicalProcess	"bp(GOBP:""positive regulation of mitochondrial membrane permeability involved in apoptotic process"")"
BiologicalProcess	"bp(GOBP:""phospholipid-hydroperoxide glutathione peroxidase activity"")"
BiologicalProcess	"bp(MESHPP:""Long-Term Synaptic Depression"")"
BiologicalProcess	"bp(GO:""behavior"")"
BiologicalProcess	"bp(GO:""neuronal signal transduction"")"
BiologicalProcess	"bp(GO:""hypermethylation of CpG island"")"
BiologicalProcess	"bp(MESH:""Neuroprotection"")"
BiologicalProcess	"bp(GO:""histone H4-K12 acetylation"")"
BiologicalProcess	"bp(GO:""maintenance of cell number"")"
BiologicalProcess	"bp(GO:""cellular response to oxidative stress"")"
BiologicalProcess	"bp(GO:""monoamine transport"")"
BiologicalProcess	"bp(GO:""mitochondrial fusion"")"
BiologicalProcess	"bp(MESH:""Immunomodulation"")"
BiologicalProcess	"bp(GO:""regulatory T cell differentiation"")"
BiologicalProcess	"bp(GO:""phosphatidylinositol 3-kinase signaling"")"
BiologicalProcess	"bp(GO:""response to nicotine"")"
BiologicalProcess	"bp(MESH:""Calcium Signaling"")"
BiologicalProcess	"bp(GOBP:""phagocytosis, engulfment"")"
BiologicalProcess	"bp(GOBP:""activation of immune response"")"
BiologicalProcess	"bp(GOBP:""calcium-mediated signaling"")"
BiologicalProcess	"bp(GOBP:""B cell proliferation"")"
BiologicalProcess	"bp(GO:""lipid droplet formation"")"
BiologicalProcess	"bp(MESHPP:""PA"")"
BiologicalProcess	"bp(GOBP:""protein kinase B signaling"")"
BiologicalProcess	"bp(GOBP:""amyloid fibril formation"")"
BiologicalProcess	"bp(PMIBP:""neurological decline"")"
BiologicalProcess	"bp(GOBP:""mitochondrial genome maintenance"")"
BiologicalProcess	"bp(GOBP:""phosphatidylinositol 3-kinase signaling"")"
BiologicalProcess	"bp(GOBP:""cell proliferattion"")"
BiologicalProcess	"bp(GO:""lipid metabolic process"")"
BiologicalProcess	"bp(GO:""regulation of mitochondrial membrane potential"")"
BiologicalProcess	"bp(GOBP:""gamma-aminobutyric acid signaling pathway"")"
BiologicalProcess	"bp(GOBP:""synaptic transmission, glutamatergic"")"
BiologicalProcess	"bp(GOBP:""regulation of adenosine receptor signaling pathway"")"
BiologicalProcess	"bp(GOBP:""mitochondrial electron transport, cytochrome c to oxygen"")"
BiologicalProcess	"bp(GO:""autophagy"")"
BiologicalProcess	"bp(GO:""amyloid-beta formation"")"
BiologicalProcess	"bp(GO:""protein farnesylation"")"
BiologicalProcess	"bp(MESH:""Cell Survival"")"
BiologicalProcess	"bp(GO:""superoxide anion generation"")"
BiologicalProcess	"bp(GO:""phagocytosis"")"
BiologicalProcess	"bp(GO:""mitophagy"")"
BiologicalProcess	"bp(GO:""axonal transport of mitochondrion"")"
BiologicalProcess	"bp(GO:""energy homeostasis"")"
BiologicalProcess	"bp(GO:""nucleocytoplasmic transport"")"
BiologicalProcess	"bp(GO:""negative regulation of NIK/NF-kappaB signaling"")"
BiologicalProcess	"bp(GO:""spinal cord development"")"
BiologicalProcess	"bp(GO:""dopamine secretion"")"
BiologicalProcess	"bp(GO:""GO:0051935"")"
BiologicalProcess	"bp(GO:""actin rod assembly"")"
BiologicalProcess	"bp(GO:""mitochondrion localization"")"
BiologicalProcess	"bp(GO:""aggresome assembly"")"
BiologicalProcess	"bp(GO:""bile acid biosynthetic process"")"
BiologicalProcess	"bp(GO:""response to chloroquine"")"
BiologicalProcess	"bp(GOBP:""actin polymerization or depolymerization"")"
BiologicalProcess	"bp(GOBP:""multinuclear osteoclast differentiation"")"
BiologicalProcess	"bp(GOBP:""long-term synaptic potentiation"")"
BiologicalProcess	"bp(GOBP:""mitochondrial calcium ion transport"")"
BiologicalProcess	"bp(GOBP:""mitochondrion disassembly"")"
BiologicalProcess	"bp(GOBP:""generation of neurons"")"
BiologicalProcess	"bp(GOBP:""transmission of nerve impulse"")"
BiologicalProcess	"bp(PMIBP:""neurite retraction"")"
BiologicalProcess	"bp(GOBP:""learning"")"
BiologicalProcess	"bp(GOBP:""vasodilation"")"
BiologicalProcess	"bp(MESHD:""Insulin Resistance"")"
BiologicalProcess	"bp(GOBP:""positive regulation of cellular process"")"
BiologicalProcess	"bp(GOBP:""retrograde axon cargo transport"")"
BiologicalProcess	"bp(GOBP:""neuron remodeling"")"
BiologicalProcess	"bp(GOBP:""Wnt signaling pathway"")"
BiologicalProcess	"bp(GOBP:""stress fiber assembly"")"
BiologicalProcess	"bp(GO:""learning"")"
BiologicalProcess	"bp(GO:""locomotion"")"
BiologicalProcess	"bp(GO:""calcium ion homeostasis"")"
BiologicalProcess	"bp(CONSO:""PI3K-Akt signaling pathway"")"
BiologicalProcess	"bp(GO:""neuron differentiation"")"
BiologicalProcess	"bp(MESH:""Unfolded Protein Response"")"
BiologicalProcess	"bp(GO:""microtubule bundle formation"")"
BiologicalProcess	"bp(GO:""stress granule assembly"")"
BiologicalProcess	"bp(CONSO:""Proteostasis"")"
BiologicalProcess	"bp(GO:""DNA conformation change"")"
BiologicalProcess	"bp(MESH:""Glycolysis"")"
BiologicalProcess	"bp(GO:""evasion or tolerance of host defenses by virus"")"
BiologicalProcess	"bp(MESH:""Remyelination"")"
BiologicalProcess	"bp(CONSO:""amyloidogenesis"")"
BiologicalProcess	"bp(GO:""cellular response to heat"")"
BiologicalProcess	"bp(MESH:""Neurofibrillary Tangles"")"
BiologicalProcess	"bp(GO:""acetylcholine catabolic process"")"
BiologicalProcess	"bp(GO:""SNARE complex assembly"")"
BiologicalProcess	"bp(MESH:""Protein Structure, Secondary"")"
BiologicalProcess	"bp(GO:""response to lipopolysaccharide"")"
BiologicalProcess	"bp(GOBP:""apoptotic process"")"
BiologicalProcess	"bp(MESHPP:""Apoptosis"")"
BiologicalProcess	"bp(MESHPP:""Lipid Peroxidation"")"
BiologicalProcess	"bp(GOBP:""macrophage activation"")"
BiologicalProcess	"bp(GOBP:""protein stabilization"")"
BiologicalProcess	"bp(GOBP:""ERK1 and ERK2 cascade"")"
BiologicalProcess	"bp(GOBP:""T cell differentiation"")"
BiologicalProcess	"bp(GOBP:""neuronal signal transduction"")"
BiologicalProcess	"bp(GOBP:""cell differentiation"")"
BiologicalProcess	"bp(GOBP:""regulation of synaptic plasticity"")"
BiologicalProcess	"bp(GOBP:""cellular response to oxidative stress"")"
BiologicalProcess	"bp(GOBP:""response to insulin"")"
BiologicalProcess	"bp(GOBP:""platelet aggregation"")"
BiologicalProcess	"bp(GOBP:""negative regulation of androgen receptor activity"")"
BiologicalProcess	"bp(NCIT:""Proteolysis"")"
BiologicalProcess	"bp(NCIT:""Aggregation"")"
BiologicalProcess	"bp(GO:""myelination"")"
BiologicalProcess	"bp(GO:""parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization"")"
BiologicalProcess	"bp(MESH:""Growth"")"
BiologicalProcess	"bp(GO:""angiogenesis"")"
BiologicalProcess	"bp(GO:""mitochondrial fragmentation involved in apoptotic process"")"
BiologicalProcess	"bp(GO:""neurofibrillary tangle assembly"")"
BiologicalProcess	"bp(GO:""long-term memory"")"
BiologicalProcess	"bp(GO:""oxidative phosphorylation"")"
BiologicalProcess	"bp(GO:""ERAD pathway"")"
BiologicalProcess	"bp(GO:""mitochondrial unfolded protein response"")"
BiologicalProcess	"bp(GO:""locomotory behavior"")"
BiologicalProcess	"bp(GO:""calcium import into the mitochondrion"")"
BiologicalProcess	"bp(GO:""neuron cellular homeostasis"")"
BiologicalProcess	"bp(GO:""regulation of cellular component movement"")"
BiologicalProcess	"bp(GO:""Fas signaling pathway"")"
BiologicalProcess	"bp(GO:""ATP metabolic process"")"
BiologicalProcess	"bp(GO:""circadian sleep/wake cycle, wakefulness"")"
BiologicalProcess	"bp(GO:""microglial cell activation involved in immune response"")"
BiologicalProcess	"bp(GO:""dorsal spinal cord development"")"
BiologicalProcess	"bp(GOBP:""immune response"")"
BiologicalProcess	"bp(GOBP:""membrane protein ectodomain proteolysis"")"
BiologicalProcess	"bp(GOBP:""ATP biosynthetic process"")"
BiologicalProcess	"bp(GOBP:""cell adhesion"")"
BiologicalProcess	"bp(GOBP:""T cell proliferation"")"
BiologicalProcess	"bp(GOBP:""synaptic transmission, cholinergic"")"
BiologicalProcess	"bp(GOBP:""hydroxymethylglutaryl-CoA reductase kinase activity"")"
BiologicalProcess	"bp(HP:""NMDA glutamate receptor activity"")"
BiologicalProcess	"bp(GOBP:""membrane lipid catabolic process"")"
BiologicalProcess	"bp(GOBP:""positive regulation of endocytosis"")"
BiologicalProcess	"bp(GOBP:""activation of GTPase activity"")"
BiologicalProcess	"bp(GOBP:""behavior"")"
BiologicalProcess	"bp(HP:""telomerase activity"")"
BiologicalProcess	"bp(GOBP:""actin crosslink formation"")"
BiologicalProcess	"bp(GOBP:""axon regeneration"")"
BiologicalProcess	"bp(GOBP:""gamma-aminobutyric acid receptor clustering"")"
BiologicalProcess	"bp(GOBP:""iron assimilation by chelation and transport"")"
BiologicalProcess	"bp(GO:""L-glutamate import"")"
BiologicalProcess	"bp(GO:""signal release from synapse"")"
BiologicalProcess	"bp(GO:""neuron-neuron synaptic transmission"")"
BiologicalProcess	"bp(GO:""dendritic spine morphogenesis"")"
BiologicalProcess	"bp(GO:""complement activation"")"
BiologicalProcess	"bp(GO:""lysosomal protein catabolic process"")"
BiologicalProcess	"bp(GO:""tubulin complex assembly"")"
BiologicalProcess	"bp(GO:""synapse maturation"")"
BiologicalProcess	"bp(GO:""motor learning"")"
BiologicalProcess	"bp(NCIT:""C17741"")"
BiologicalProcess	"bp(GO:""activation of immune response"")"
BiologicalProcess	"bp(GO:""transport across blood-brain barrier"")"
BiologicalProcess	"bp(GO:""peroxisome proliferator activated receptor signaling pathway"")"
BiologicalProcess	"bp(GO:""receptor clustering"")"
BiologicalProcess	"bp(GO:""neuron maturation"")"
BiologicalProcess	"bp(GO:""peptidyl-cysteine oxidation"")"
BiologicalProcess	"bp(GO:""amyloid-beta clearance by transcytosis"")"
BiologicalProcess	"bp(GO:""autophagosome membrane docking"")"
BiologicalProcess	"bp(GOBP:""beta-amyloid clearance"")"
BiologicalProcess	"bp(GOBP:""dendritic cell migration"")"
BiologicalProcess	"bp(MESHF:""Memory, Short-Term"")"
BiologicalProcess	"bp(GOBP:""response to reactive oxygen species"")"
BiologicalProcess	"bp(GOBP:""cholesterol efflux"")"
BiologicalProcess	"bp(GOBP:""negative regulation of insulin receptor signaling pathway"")"
BiologicalProcess	"bp(GOBP:""wound healing"")"
BiologicalProcess	"bp(GOBP:""stress response to copper ion"")"
BiologicalProcess	"bp(HP:""calcium channel activity"")"
BiologicalProcess	"bp(GOBP:""synaptic vesicle to endosome fusion"")"
BiologicalProcess	"bp(GOBP:""potassium ion import"")"
BiologicalProcess	"bp(CBP:""glutamate excitotoxicity"")"
BiologicalProcess	"bp(GOBP:""viral entry into host cell"")"
BiologicalProcess	"bp(GO:""immune response"")"
BiologicalProcess	"bp(GO:""cytokine production"")"
BiologicalProcess	"bp(GO:""blood vessel development"")"
BiologicalProcess	"bp(MESH:""Transendothelial and Transepithelial Migration"")"
BiologicalProcess	"bp(GO:""T cell antigen processing and presentation"")"
BiologicalProcess	"bp(GO:""excitatory postsynaptic potential"")"
BiologicalProcess	"bp(GO:""astrocyte development"")"
BiologicalProcess	"bp(GO:""protein K48-linked ubiquitination"")"
BiologicalProcess	"bp(GO:""response to type I interferon"")"
BiologicalProcess	"bp(GO:""T-helper 2 cell cytokine production"")"
BiologicalProcess	"bp(GO:""positive regulation of calcium ion import"")"
BiologicalProcess	"bp(GO:""cell cycle arrest"")"
BiologicalProcess	"bp(GO:""Hsp90 deacetylation"")"
BiologicalProcess	"bp(GO:""positive regulation of voltage-gated calcium channel activity"")"
BiologicalProcess	"bp(MESH:""D017774"")"
BiologicalProcess	"bp(GO:""membrane hyperpolarization"")"
BiologicalProcess	"bp(MESH:""Membrane Potentials"")"
BiologicalProcess	"bp(GO:""response to amino acid starvation"")"
BiologicalProcess	"bp(GO:""glycosaminoglycan catabolic process"")"
BiologicalProcess	"bp(GO:""histone acetylation"")"
BiologicalProcess	"bp(GOBP:""macrophage cytokine production"")"
BiologicalProcess	"bp(GOBP:""electron transport chain"")"
BiologicalProcess	"bp(GOBP:""positive regulation of mitochondrial translation in response to stress"")"
BiologicalProcess	"bp(GOBP:""regulation of natural killer cell apoptotic process"")"
BiologicalProcess	"bp(GOBP:""axon guidance"")"
BiologicalProcess	"bp(GOBP:""adrenergic receptor signaling pathway"")"
BiologicalProcess	"bp(GOBP:""regulation of catalase activity"")"
BiologicalProcess	"bp(GOBP:""iron ion homeostasis"")"
BiologicalProcess	"bp(PMIBP:""alpha synuclein fibrillation"")"
BiologicalProcess	"bp(GOBP:""stem cell proliferation"")"
BiologicalProcess	"bp(GOBP:""necrotic cell death"")"
BiologicalProcess	"bp(PTS:""ERK cascade"")"
BiologicalProcess	"bp(MESHPP:""Gene Transfer, Horizontal"")"
BiologicalProcess	"bp(GO:""social behavior"")"
BiologicalProcess	"bp(GO:""canonical Wnt signaling pathway"")"
BiologicalProcess	"bp(GO:""anterograde axonal protein transport"")"
BiologicalProcess	"bp(GO:""calcium ion import into cytosol"")"
BiologicalProcess	"bp(GO:""stress-activated protein kinase signaling cascade"")"
BiologicalProcess	"bp(GO:""chromatin organization"")"
BiologicalProcess	"bp(GO:""response to drug"")"
BiologicalProcess	"bp(GO:""neuron-glial cell signaling"")"
BiologicalProcess	"bp(GO:""sphingosine-1-phosphate receptor signaling pathway"")"
BiologicalProcess	"bp(MESH:""Neuronal Plasticity"")"
BiologicalProcess	"bp(GO:""dendritic spine organization"")"
BiologicalProcess	"bp(GO:""one-carbon metabolic process"")"
BiologicalProcess	"bp(GO:""sodium ion transport"")"
BiologicalProcess	"bp(GO:""coagulation"")"
BiologicalProcess	"bp(GOBP:""immune response-regulating cell surface receptor signaling pathway involved in phagocytosis"")"
BiologicalProcess	"bp(GOBP:""calcium ion import into cell"")"
BiologicalProcess	"bp(GOBP:""erythrocyte clearance"")"
BiologicalProcess	"bp(GOBP:""CD4-positive, alpha-beta T cell activation"")"
BiologicalProcess	"bp(GOBP:""response to unfolded protein"")"
BiologicalProcess	"bp(GOBP:""pre-B cell receptor expression"")"
BiologicalProcess	"bp(GOBP:""induction of apoptotic process"")"
BiologicalProcess	"bp(GOBP:""regulation of cAMP-dependent protein kinase activity"")"
BiologicalProcess	"bp(GOBP:""platelet activation"")"
BiologicalProcess	"bp(GOBP:""apoptotic signaling pathway"")"
BiologicalProcess	"bp(GOBP:""phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway"")"
BiologicalProcess	"bp(HP:""spatial memory"")"
BiologicalProcess	"bp(GOBP:""energy reserve metabolic process"")"
BiologicalProcess	"bp(GOBP:""SNARE complex assembly"")"
BiologicalProcess	"bp(GO:""cellular calcium ion homeostasis"")"
BiologicalProcess	"bp(GO:""synaptic vesicle endocytosis"")"
BiologicalProcess	"bp(GO:""ERK1 and ERK2 cascade"")"
BiologicalProcess	"bp(GO:""cAMP-mediated signaling"")"
BiologicalProcess	"bp(GO:""pre-B cell receptor expression"")"
BiologicalProcess	"bp(GO:""apoptotic signaling pathway"")"
BiologicalProcess	"bp(GO:""cell redox homeostasis"")"
BiologicalProcess	"bp(NCIT:""Protein Truncation"")"
BiologicalProcess	"bp(MESHPP:""Gastrointestinal Microbiome"")"
BiologicalProcess	"bp(MESHPP:""neuroprotective agents"")"
BiologicalProcess	"bp(GO:""intracellular receptor signaling pathway"")"
BiologicalProcess	"bp(GO:""keratinocyte migration"")"
BiologicalProcess	"bp(GO:""modulation of chemical synaptic transmission"")"
BiologicalProcess	"bp(GO:""mast cell activation"")"
BiologicalProcess	"bp(GO:""cargo loading into vesicle"")"
BiologicalProcess	"bp(GO:""mRNA stabilization"")"
BiologicalProcess	"bp(MESH:""Long-Term Potentiation"")"
BiologicalProcess	"bp(GO:""response to insulin"")"
BiologicalProcess	"bp(GO:""regulation of phosphatidylinositol 3-kinase signaling"")"
BiologicalProcess	"bp(GO:""lysosomal lumen acidification"")"
BiologicalProcess	"bp(GO:""intracellular distribution of mitochondria"")"
BiologicalProcess	"bp(GO:""proteasomal ubiquitin-independent protein catabolic process"")"
BiologicalProcess	"bp(GOBP:""aging"")"
BiologicalProcess	"bp(GOBP:""cytoskeleton organization"")"
BiologicalProcess	"bp(GOBP:""synapse assembly"")"
BiologicalProcess	"bp(GOBP:""cell-cell signaling"")"
BiologicalProcess	"bp(GOBP:""DNA damage response, detection of DNA damage"")"
BiologicalProcess	"bp(GOBP:""short-term synaptic potentiation"")"
BiologicalProcess	"bp(GOBP:""positive regulation of glial cell apoptotic process"")"
BiologicalProcess	"bp(GOBP:""calcium ion transport"")"
BiologicalProcess	"bp(GOBP:""positive regulation of lysosomal membrane permeability"")"
BiologicalProcess	"bp(GOBP:""phosphatidylinositol 3-kinase activity"")"
BiologicalProcess	"bp(GOBP:""cellular potassium ion transport"")"
BiologicalProcess	"bp(GOBP:""positive regulation of vasodilation"")"
BiologicalProcess	"bp(GOBP:""memory deficits"")"
BiologicalProcess	"bp(GOBP:""blood coagulation"")"
BiologicalProcess	"bp(GOBP:""positive regulation of synaptic transmission, cholinergic"")"
BiologicalProcess	"bp(GOBP:""neuroblast proliferation"")"
BiologicalProcess	"bp(GO:""walking behavior"")"
BiologicalProcess	"bp(GO:""astrocyte activation"")"
BiologicalProcess	"bp(GO:""synaptic signaling"")"
BiologicalProcess	"bp(GO:""ion homeostasis"")"
BiologicalProcess	"bp(GO:""regulation of calcium-mediated signaling"")"
BiologicalProcess	"bp(GO:""protein catabolic process"")"
BiologicalProcess	"bp(GO:""anterograde dendritic transport"")"
BiologicalProcess	"bp(GO:""vesicle transport along microtubule"")"
BiologicalProcess	"bp(GO:""chemical synaptic transmission"")"
BiologicalProcess	"bp(NCIT:""C16407"")"
BiologicalProcess	"bp(GO:""activation of innate immune response"")"
BiologicalProcess	"bp(GO:""sodium ion import across plasma membrane"")"
BiologicalProcess	"bp(GO:""hyperpolarization of postsynaptic membrane"")"
BiologicalProcess	"bp(GO:""cellular response to mechanical stimulus"")"
BiologicalProcess	"bp(GO:""biosynthetic process"")"
BiologicalProcess	"bp(GO:""cellular response to ethanol"")"
BiologicalProcess	"bp(GOBP:""regulation of inflammatory response"")"
BiologicalProcess	"bp(GOBP:""microglial cell migration"")"
BiologicalProcess	"bp(GOBP:""angiogenesis"")"
BiologicalProcess	"bp(GOBP:""neuron projection morphogenesis"")"
BiologicalProcess	"bp(GOBP:""myeloid dendritic cell activation"")"
BiologicalProcess	"bp(GOBP:""mitochondrion organization"")"
BiologicalProcess	"bp(GOBP:""ER-associated protein catabolic process"")"
BiologicalProcess	"bp(GOBP:""synaptic vesicle budding from endosome"")"
BiologicalProcess	"bp(GOBP:""RNA metabolic process"")"
BiologicalProcess	"bp(MESHPP:""Membrane Potential, Mitochondrial"")"
BiologicalProcess	"bp(GOBP:""prolactin secretion"")"
BiologicalProcess	"bp(GOBP:""histone deacetylase activity"")"
BiologicalProcess	"bp(GOBP:""phospholipase A2 activity"")"
BiologicalProcess	"bp(GOCC:""potassium channel complex"")"
BiologicalProcess	"bp(GOBP:""gliogenesis"")"
BiologicalProcess	"bp(GOBP:""oxidative phosphorylation"")"
BiologicalProcess	"bp(MESHPP:""Cell Transformation, Viral"")"
BiologicalProcess	"bp(GO:""synapse assembly"")"
BiologicalProcess	"bp(CONSO:""Microgliosis"")"
BiologicalProcess	"bp(COSNO:""APP processing"")"
BiologicalProcess	"bp(GO:""regulation of oxidative phosphorylation"")"
BiologicalProcess	"bp(GO:""detection of redox state"")"
BiologicalProcess	"bp(GO:""actin filament organization"")"
BiologicalProcess	"bp(GO:""necrotic cell death"")"
BiologicalProcess	"bp(GO:""cytosolic ciliogenesis"")"
BiologicalProcess	"bp(GO:""cellular response to DNA damage stimulus"")"
BiologicalProcess	"bp(GO:""cerebrospinal fluid circulation"")"
BiologicalProcess	"bp(GO:""positive regulation of blood pressure"")"
BiologicalProcess	"bp(GO:""axon development"")"
BiologicalProcess	"bp(MESH:""Organelle Biogenesis"")"
BiologicalProcess	"bp(GOBP:""tissue homeostasis"")"
